name,row,column,x,y
1037.png,0,0,262,161
1037.png,0,1,353,163
1037.png,0,2,389,164
1037.png,1,0,259,226
1037.png,1,1,298,228
1037.png,1,2,387,229
1037.png,2,0,257,292
1037.png,2,1,350,295
1037.png,2,2,384,293
1038.png,0,0,262,161
1038.png,0,1,353,163
1038.png,0,2,389,164
1038.png,1,0,259,226
1038.png,1,1,298,228
1038.png,1,2,387,229
1038.png,2,0,257,292
1038.png,2,1,350,295
1038.png,2,2,384,293
1039.png,0,0,262,161
1039.png,0,1,353,163
1039.png,0,2,389,164
1039.png,1,0,259,226
1039.png,1,1,298,228
1039.png,1,2,387,229
1039.png,2,0,257,292
1039.png,2,1,350,295
1039.png,2,2,384,293
104.png,0,0,280,165
104.png,0,1,318,168
104.png,0,2,409,179
104.png,1,0,274,228
104.png,1,1,364,241
104.png,1,2,400,243
104.png,2,0,265,295
104.png,2,1,302,299
104.png,2,2,394,309
1040.png,0,0,261,161
1040.png,0,1,353,163
1040.png,0,2,389,164
1040.png,1,0,259,225
1040.png,1,1,299,228
1040.png,1,2,388,228
1040.png,2,0,257,292
1040.png,2,1,350,295
1040.png,2,2,384,293
1041.png,0,0,261,161
1041.png,0,1,353,163
1041.png,0,2,389,164
1041.png,1,0,259,225
1041.png,1,1,299,228
1041.png,1,2,388,228
1041.png,2,0,257,292
1041.png,2,1,350,295
1041.png,2,2,384,293
1042.png,0,0,261,161
1042.png,0,1,353,163
1042.png,0,2,389,164
1042.png,1,0,259,225
1042.png,1,1,299,228
1042.png,1,2,388,228
1042.png,2,0,257,292
1042.png,2,1,350,295
1042.png,2,2,384,293
1043.png,0,0,261,161
1043.png,0,1,353,163
1043.png,0,2,389,164
1043.png,1,0,259,225
1043.png,1,1,299,228
1043.png,1,2,388,228
1043.png,2,0,257,292
1043.png,2,1,350,295
1043.png,2,2,384,293
1044.png,0,0,262,161
1044.png,0,1,352,164
1044.png,0,2,389,164
1044.png,1,0,259,225
1044.png,1,1,299,228
1044.png,1,2,388,228
1044.png,2,0,258,292
1044.png,2,1,349,295
1044.png,2,2,384,293
1045.png,0,0,262,161
1045.png,0,1,352,164
1045.png,0,2,389,164
1045.png,1,0,259,225
1045.png,1,1,299,228
1045.png,1,2,388,228
1045.png,2,0,258,292
1045.png,2,1,349,295
1045.png,2,2,384,293
1046.png,0,0,262,161
1046.png,0,1,352,164
1046.png,0,2,389,164
1046.png,1,0,259,225
1046.png,1,1,299,228
1046.png,1,2,388,228
1046.png,2,0,258,292
1046.png,2,1,349,295
1046.png,2,2,384,293
1047.png,0,0,261,161
1047.png,0,1,351,164
1047.png,0,2,388,164
1047.png,1,0,259,226
1047.png,1,1,299,228
1047.png,1,2,388,229
1047.png,2,0,258,293
1047.png,2,1,349,296
1047.png,2,2,384,294
1048.png,0,0,261,161
1048.png,0,1,351,164
1048.png,0,2,388,164
1048.png,1,0,259,226
1048.png,1,1,299,228
1048.png,1,2,388,229
1048.png,2,0,258,293
1048.png,2,1,349,296
1048.png,2,2,384,294
1049.png,0,0,261,161
1049.png,0,1,351,164
1049.png,0,2,388,164
1049.png,1,0,259,226
1049.png,1,1,299,228
1049.png,1,2,388,229
1049.png,2,0,258,293
1049.png,2,1,349,296
1049.png,2,2,384,294
105.png,0,0,280,165
105.png,0,1,318,168
105.png,0,2,409,179
105.png,1,0,274,228
105.png,1,1,364,241
105.png,1,2,400,243
105.png,2,0,265,295
105.png,2,1,302,299
105.png,2,2,394,309
1050.png,0,0,261,161
1050.png,0,1,351,164
1050.png,0,2,388,164
1050.png,1,0,259,226
1050.png,1,1,299,228
1050.png,1,2,388,229
1050.png,2,0,258,293
1050.png,2,1,349,296
1050.png,2,2,384,294
1051.png,0,0,261,161
1051.png,0,1,351,164
1051.png,0,2,389,164
1051.png,1,0,260,226
1051.png,1,1,299,228
1051.png,1,2,388,229
1051.png,2,0,258,293
1051.png,2,1,349,295
1051.png,2,2,385,294
1052.png,0,0,261,161
1052.png,0,1,351,164
1052.png,0,2,389,164
1052.png,1,0,260,226
1052.png,1,1,299,228
1052.png,1,2,388,229
1052.png,2,0,258,293
1052.png,2,1,349,295
1052.png,2,2,385,294
1053.png,0,0,261,161
1053.png,0,1,351,164
1053.png,0,2,389,164
1053.png,1,0,260,226
1053.png,1,1,299,228
1053.png,1,2,388,229
1053.png,2,0,258,293
1053.png,2,1,349,295
1053.png,2,2,385,294
1054.png,0,0,261,161
1054.png,0,1,351,164
1054.png,0,2,389,164
1054.png,1,0,260,226
1054.png,1,1,299,228
1054.png,1,2,388,228
1054.png,2,0,258,293
1054.png,2,1,349,295
1054.png,2,2,385,294
1055.png,0,0,261,161
1055.png,0,1,351,164
1055.png,0,2,389,164
1055.png,1,0,260,226
1055.png,1,1,299,228
1055.png,1,2,388,228
1055.png,2,0,258,293
1055.png,2,1,349,295
1055.png,2,2,385,294
1056.png,0,0,261,161
1056.png,0,1,351,164
1056.png,0,2,389,164
1056.png,1,0,260,226
1056.png,1,1,299,228
1056.png,1,2,388,228
1056.png,2,0,258,293
1056.png,2,1,349,295
1056.png,2,2,385,294
1057.png,0,0,261,161
1057.png,0,1,351,164
1057.png,0,2,389,164
1057.png,1,0,260,226
1057.png,1,1,299,228
1057.png,1,2,388,228
1057.png,2,0,258,293
1057.png,2,1,349,295
1057.png,2,2,385,294
1058.png,0,0,262,161
1058.png,0,1,351,164
1058.png,0,2,390,163
1058.png,1,0,260,226
1058.png,1,1,299,228
1058.png,1,2,388,228
1058.png,2,0,258,293
1058.png,2,1,349,295
1058.png,2,2,385,294
1059.png,0,0,262,161
1059.png,0,1,351,164
1059.png,0,2,390,163
1059.png,1,0,260,226
1059.png,1,1,299,228
1059.png,1,2,388,228
1059.png,2,0,258,293
1059.png,2,1,349,295
1059.png,2,2,385,294
106.png,0,0,281,165
106.png,0,1,318,168
106.png,0,2,409,179
106.png,1,0,274,228
106.png,1,1,363,241
106.png,1,2,400,244
106.png,2,0,265,296
106.png,2,1,303,299
106.png,2,2,394,310
1060.png,0,0,262,161
1060.png,0,1,351,164
1060.png,0,2,390,163
1060.png,1,0,260,226
1060.png,1,1,299,228
1060.png,1,2,388,228
1060.png,2,0,258,293
1060.png,2,1,349,295
1060.png,2,2,385,294
1061.png,0,0,262,161
1061.png,0,1,351,164
1061.png,0,2,390,163
1061.png,1,0,260,226
1061.png,1,1,299,228
1061.png,1,2,388,228
1061.png,2,0,258,293
1061.png,2,1,349,295
1061.png,2,2,385,294
1062.png,0,0,262,161
1062.png,0,1,351,164
1062.png,0,2,390,163
1062.png,1,0,260,226
1062.png,1,1,300,228
1062.png,1,2,388,228
1062.png,2,0,258,293
1062.png,2,1,349,295
1062.png,2,2,385,294
1063.png,0,0,262,161
1063.png,0,1,351,164
1063.png,0,2,390,163
1063.png,1,0,260,226
1063.png,1,1,300,228
1063.png,1,2,388,228
1063.png,2,0,258,293
1063.png,2,1,349,295
1063.png,2,2,385,294
1064.png,0,0,262,161
1064.png,0,1,351,164
1064.png,0,2,390,163
1064.png,1,0,260,226
1064.png,1,1,300,228
1064.png,1,2,388,228
1064.png,2,0,258,293
1064.png,2,1,349,295
1064.png,2,2,385,294
1065.png,0,0,262,161
1065.png,0,1,351,164
1065.png,0,2,390,163
1065.png,1,0,260,225
1065.png,1,1,300,228
1065.png,1,2,389,228
1065.png,2,0,258,293
1065.png,2,1,348,295
1065.png,2,2,385,293
1066.png,0,0,262,161
1066.png,0,1,351,164
1066.png,0,2,390,163
1066.png,1,0,260,225
1066.png,1,1,300,228
1066.png,1,2,389,228
1066.png,2,0,258,293
1066.png,2,1,348,295
1066.png,2,2,385,293
1067.png,0,0,262,161
1067.png,0,1,351,164
1067.png,0,2,390,163
1067.png,1,0,260,225
1067.png,1,1,300,228
1067.png,1,2,389,228
1067.png,2,0,258,293
1067.png,2,1,348,295
1067.png,2,2,385,293
1068.png,0,0,262,161
1068.png,0,1,351,164
1068.png,0,2,390,163
1068.png,1,0,260,225
1068.png,1,1,300,228
1068.png,1,2,389,228
1068.png,2,0,258,293
1068.png,2,1,348,295
1068.png,2,2,385,293
1069.png,0,0,262,161
1069.png,0,1,351,164
1069.png,0,2,391,163
1069.png,1,0,260,226
1069.png,1,1,301,228
1069.png,1,2,389,228
1069.png,2,0,258,293
1069.png,2,1,348,295
1069.png,2,2,385,293
107.png,0,0,281,165
107.png,0,1,318,168
107.png,0,2,409,179
107.png,1,0,274,228
107.png,1,1,363,241
107.png,1,2,400,244
107.png,2,0,265,296
107.png,2,1,303,299
107.png,2,2,394,310
1070.png,0,0,262,161
1070.png,0,1,351,164
1070.png,0,2,391,163
1070.png,1,0,260,226
1070.png,1,1,301,228
1070.png,1,2,389,228
1070.png,2,0,258,293
1070.png,2,1,348,295
1070.png,2,2,385,293
1071.png,0,0,262,161
1071.png,0,1,351,164
1071.png,0,2,391,163
1071.png,1,0,260,226
1071.png,1,1,301,228
1071.png,1,2,389,228
1071.png,2,0,258,293
1071.png,2,1,348,295
1071.png,2,2,385,293
1072.png,0,0,263,161
1072.png,0,1,351,164
1072.png,0,2,390,163
1072.png,1,0,261,226
1072.png,1,1,301,228
1072.png,1,2,389,228
1072.png,2,0,258,293
1072.png,2,1,347,295
1072.png,2,2,386,293
1073.png,0,0,263,161
1073.png,0,1,351,164
1073.png,0,2,390,163
1073.png,1,0,261,226
1073.png,1,1,301,228
1073.png,1,2,389,228
1073.png,2,0,258,293
1073.png,2,1,347,295
1073.png,2,2,386,293
1074.png,0,0,263,161
1074.png,0,1,351,164
1074.png,0,2,390,163
1074.png,1,0,261,226
1074.png,1,1,301,228
1074.png,1,2,389,228
1074.png,2,0,258,293
1074.png,2,1,347,295
1074.png,2,2,386,293
1075.png,0,0,263,161
1075.png,0,1,351,164
1075.png,0,2,390,163
