name,row,column,x,y
26,1,2,401,244
26,2,0,267,296
26,2,1,300,299
26,2,2,394,309
27,0,0,282,165
27,0,1,316,168
27,0,2,411,180
27,1,0,276,228
27,1,1,369,241
27,1,2,401,244
27,2,0,267,296
27,2,1,300,299
27,2,2,394,309
28,0,0,282,165
28,0,1,316,168
28,0,2,411,180
28,1,0,275,228
28,1,1,369,241
28,1,2,401,244
28,2,0,267,296
28,2,1,300,298
28,2,2,394,309
29,0,0,282,165
29,0,1,316,168
29,0,2,411,180
29,1,0,275,228
29,1,1,369,241
29,1,2,401,244
29,2,0,267,296
29,2,1,300,298
29,2,2,394,309
30,0,0,282,165
30,0,1,316,168
30,0,2,411,180
30,1,0,275,228
30,1,1,369,241
30,1,2,401,244
30,2,0,267,296
30,2,1,300,298
30,2,2,394,309
31,0,0,282,165
31,0,1,316,168
31,0,2,411,180
31,1,0,275,228
31,1,1,369,241
31,1,2,401,244
31,2,0,267,296
31,2,1,300,298
31,2,2,394,309
32,0,0,282,165
32,0,1,316,168
32,0,2,411,180
32,1,0,275,228
32,1,1,369,241
32,1,2,401,244
32,2,0,267,296
32,2,1,300,298
32,2,2,394,309
33,0,0,282,165
33,0,1,316,168
33,0,2,411,180
33,1,0,275,228
33,1,1,369,241
33,1,2,401,244
33,2,0,267,296
33,2,1,300,298
33,2,2,394,309
34,0,0,282,165
34,0,1,316,168
34,0,2,411,180
34,1,0,275,228
34,1,1,369,241
34,1,2,401,244
34,2,0,267,296
34,2,1,300,298
34,2,2,394,309
35,0,0,282,165
35,0,1,316,168
35,0,2,411,180
35,1,0,275,228
35,1,1,369,241
35,1,2,401,244
35,2,0,266,295
35,2,1,300,298
35,2,2,393,309
36,0,0,282,165
36,0,1,316,168
36,0,2,411,180
36,1,0,275,228
36,1,1,369,241
36,1,2,401,244
36,2,0,266,295
36,2,1,300,298
36,2,2,393,309
37,0,0,282,165
37,0,1,316,168
37,0,2,411,180
37,1,0,275,228
37,1,1,369,241
37,1,2,401,244
37,2,0,266,295
37,2,1,300,298
37,2,2,393,309
38,0,0,282,165
38,0,1,316,168
38,0,2,411,180
38,1,0,275,228
38,1,1,369,241
38,1,2,401,244
38,2,0,266,295
38,2,1,300,298
38,2,2,393,309
39,0,0,282,165
39,0,1,317,168
39,0,2,410,180
39,1,0,275,228
39,1,1,368,241
39,1,2,401,244
39,2,0,266,295
39,2,1,300,298
39,2,2,393,309
40,0,0,282,165
40,0,1,317,168
